iter	Passed	Remaining
644	7341	4040
645	7354	4029
646	7365	4018
647	7376	4007
648	7388	3996
649	7400	3984
650	7412	3973
651	7425	3963
652	7438	3952
653	7450	3941
654	7462	3930
655	7475	3919
656	7488	3909
657	7501	3898
658	7513	3887
659	7526	3877
660	7539	3866
661	7550	3855
662	7563	3844
663	7576	3833
664	7588	3822
665	7601	3812
666	7613	3801
667	7626	3790
668	7638	3779
669	7650	3768
670	7663	3757
671	7675	3746
672	7687	3735
673	7699	3724
674	7711	3713
675	7723	3701
676	7735	3690
677	7748	3679
678	7761	3669
679	7772	3657
680	7785	3646
681	7797	3635
682	7809	3624
683	7821	3613
684	7834	3602
685	7846	3591
686	7858	3580
687	7870	3569
688	7882	3558
689	7894	3546
690	7906	3535
691	7918	3524
692	7930	3513
693	7942	3501
694	7954	3490
695	7967	3479
696	7979	3468
697	7991	3457
698	8004	3446
699	8017	3435
700	8029	3424
701	8041	3413
702	8055	3403
703	8070	3393
704	8084	3382
705	8095	3371
706	8107	3360
707	8121	3349
708	8133	3338
709	8145	3327
710	8158	3316
711	8171	3305
712	8183	3294
713	8196	3283
714	8208	3271
715	8221	3260
716	8232	3249
717	8246	3238
718	8258	3227
719	8271	3216
720	8284	3205
721	8296	3194
722	8309	3183
723	8321	3172
724	8334	3161
725	8346	3150
726	8359	3139
727	8376	3129
728	8389	3118
729	8401	3107
730	8414	3096
731	8426	3084
732	8438	3073
733	8450	3062
734	8463	3051
735	8475	3040
736	8487	3028
737	8500	3017
738	8514	3007
739	8526	2995
740	8538	2984
741	8551	2973
742	8563	2962
743	8575	2950
744	8587	2939
745	8599	2927
746	8611	2916
747	8622	2904
748	8635	2893
749	8648	2882
750	8663	2872
751	8676	2861
752	8689	2850
753	8701	2838
754	8713	2827
755	8726	2816
756	8739	2805
757	8752	2794
758	8765	2783
759	8778	2772
760	8791	2761
761	8805	2750
762	8817	2738
763	8829	2727
764	8841	2716
765	8853	2704
766	8865	2693
767	8877	2681
768	8889	2670
769	8901	2658
770	8914	2647
771	8928	2636
772	8942	2626
773	8956	2615
774	8971	2604
775	8983	2593
776	8995	2581
777	9009	2570
778	9021	2559
779	9034	2548
780	9045	2536
781	9058	2525
782	9071	2513
783	9084	2502
784	9097	2491
785	9110	2480
786	9123	2469
787	9135	2457
788	9147	2446
789	9159	2434
790	9172	2423
791	9184	2411
792	9196	2400
793	9208	2389
794	9221	2377
795	9233	2366
796	9245	2354
797	9257	2343
798	9268	2331
799	9279	2319
800	9291	2308
801	9302	2296
802	9312	2284
803	9324	2273
804	9335	2261
805	9346	2249
806	9358	2238
807	9368	2226
808	9380	2214
809	9390	2202
810	9401	2190
811	9412	2179
812	9423	2167
813	9435	2156
814	9446	2144
815	9457	2132
816	9468	2120
817	9479	2109
818	9490	2097
819	9501	2085
820	9512	2073
821	9522	2062
822	9533	2050
823	9544	2038
824	9555	2026
825	9566	2015
826	9577	2003
827	9588	1991
828	9599	1980
829	9610	1968
830	9621	1956
831	9631	1944
832	9642	1933
833	9653	1921
834	9664	1909
835	9676	1898
836	9687	1886
837	9698	1874
838	9709	1863
839	9720	1851
840	9731	1839
841	9742	1828
842	9754	1816
843	9765	1805
844	9777	1793
845	9788	1781
846	9799	1770
847	9810	1758
848	9821	1746
849	9831	1735
850	9842	1723
851	9853	1711
852	9865	1700
853	9876	1688
854	9886	1676
855	9897	1665
856	9908	1653
857	9920	1641
858	9931	1630
859	9941	1618
860	9952	1606
861	9964	1595
862	9975	1583
863	9986	1571
864	9997	1560
865	10008	1548
866	10019	1536
867	10029	1525
868	10040	1513
869	10051	1501
870	10061	1490
871	10072	1478
872	10082	1466
873	10093	1455
874	10104	1443
875	10114	1431
876	10125	1420
877	10136	1408
878	10146	1396
879	10157	1385
880	10167	1373
881	10178	1361
882	10188	1350
883	10198	1338
884	10209	1326
885	10219	1314
886	10230	1303
887	10241	1291
888	10251	1280
889	10262	1268
890	10273	1256
891	10284	1245
892	10294	1233
893	10305	1221
894	10315	1210
895	10326	1198
896	10337	1186
897	10348	1175
898	10359	1163
899	10369	1152
900	10380	1140
901	10390	1128
902	10401	1117
903	10412	1105
904	10422	1094
905	10433	1082
906	10444	1070
907	10454	1059
908	10465	1047
909	10475	1036
910	10487	1024
911	10497	1012
912	10507	1001
913	10518	989
914	10528	978
915	10539	966
916	10550	954
917	10561	943
918	10572	931
919	10583	920
920	10593	908
921	10603	897
922	10614	885
923	10625	873
924	10635	862
925	10646	850
926	10657	839
927	10667	827
928	10678	816
929	10689	804
930	10699	793
931	10711	781
932	10721	769
933	10732	758
934	10744	746
935	10755	735
936	10767	723
937	10779	712
938	10790	700
939	10801	689
940	10812	677
941	10823	666
942	10834	654
943	10844	643
944	10856	631
945	10867	620
946	10877	608
947	10888	597
948	10899	585
949	10909	574
950	10921	562
951	10931	551
952	10942	539
953	10953	528
954	10964	516
955	10975	505
956	10985	493
957	10997	482
958	11007	470
959	11018	459
960	11030	447
961	11040	436
962	11051	424
963	11062	413
964	11072	401
965	11082	390
966	11092	378
967	11103	367
968	11113	355
969	11124	344
970	11134	332
971	11144	321
972	11155	309
973	11165	298
974	11176	286
975	11187	275
976	11197	263
977	11208	252
978	11218	240
979	11228	229
980	11239	217
981	11250	206
982	11261	194
983	11271	183
984	11281	171
985	11291	160
986	11302	148
987	11312	137
988	11323	125
989	11333	114
990	11343	103
991	11353	91
992	11364	80
993	11375	68
994	11385	57
995	11396	45
996	11406	34
997	11417	22
998	11428	11
999	11439	0
